TIMESTAMPms	M201RAWIMUxacc	M201RAWIMUxmag	M201RAWIMUyacc	M201RAWIMUymag	M201RAWIMUzacc	M201RAWIMUzmag
200	512	50	128	-137	-4069	332
304	320	49	192	-135	-4078	333
400	384	50	192	-137	-4065	333
604	576	49	256	-136	-4076	338
700	384	46	192	-125	-4071	334
804	320	47	128	-136	-4063	331
900	576	47	192	-137	-4065	330
1000	576	49	128	-137	-4074	332
1104	576	47	192	-132	-4070	340
1200	576	47	128	-141	-4071	331
1304	320	48	192	-136	-4062	330
1400	576	48	192	-140	-4054	331
1500	576	48	128	-135	-4067	328
1604	512	48	128	-135	-4062	332
1700	384	49	192	-138	-4053	336
1804	384	49	128	-135	-4068	332
1900	320	49	128	-134	-4067	330
2000	576	46	128	-133	-4064	331
2104	576	49	192	-136	-4068	331
2200	320	47	192	-129	-4062	331
2304	320	49	128	-135	-4063	325
2400	640	47	192	-136	-4076	330
2500	640	50	128	-135	-4059	330
2604	576	47	192	-125	-4072	336
2700	576	49	128	-124	-4068	336
2804	576	50	128	-136	-4063	338
2900	576	50	128	-134	-4066	324
3000	256	49	192	-135	-4072	331
3104	576	51	128	-136	-4065	336
3200	576	49	192	-132	-4065	331
3304	576	52	192	-138	-4064	330
3400	320	51	192	-135	-4066	329
3500	640	51	128	-134	-4070	331
3604	576	49	192	-133	-4058	331
3700	576	52	128	-134	-4066	328
3804	640	61	256	-133	-4079	336
3900	192	129	128	-130	-4073	309
4000	-192	103	256	-131	-4282	317
4104	384	0	192	-134	-4051	335
4200	1152	12	192	-131	-3585	329
4304	384	87	192	-129	-3843	324
4400	128	116	128	-130	-4063	310
4500	-256	165	192	-131	-3844	290
4604	-704	193	128	-126	-4080	280
4700	-896	247	128	-126	-3854	241
4804	-1728	279	64	-122	-3832	212
4900	-1920	319	192	-120	-3581	161
5000	-2432	338	64	-119	-3321	144
5104	-2688	362	128	-104	-3055	97
5200	-3200	378	128	-115	-2806	65
5304	-3520	400	192	-112	-2073	-10
5400	-3648	405	128	-109	-1788	-65
5500	-3968	404	256	-107	-1264	-133
5604	-4096	401	-192	-107	-506	-163
5700	-4160	371	192	-104	-250	-247
5804	-4352	349	-64	-105	556	-297
5900	-4096	323	-64	-105	1261	-335
6000	-4096	287	-64	-107	1778	-374
6104	-3584	187	-64	-107	2309	-444
6200	-3072	137	-64	-106	3079	-464
6304	-2304	11	0	-109	3588	-486
6400	-1344	-62	192	-113	4349	-491
6500	-448	-174	-128	-118	4337	-464
6604	384	-243	-128	-111	4361	-430
6700	1536	-383	0	-126	3830	-296
6804	2624	-415	-64	-127	3048	-233
6900	3264	-444	192	-132	2588	-131
7000	3712	-446	-64	-134	1520	-41
7104	3904	-404	-128	-129	226	113
7200	3776	-363	192	-134	-795	177
7304	3072	-254	-192	-136	-1802	274
7400	2816	-212	-128	-135	-2566	293
7500	2496	-134	192	-133	-3096	320
7604	1920	-93	64	-136	-3574	330
7700	1472	-42	192	-135	-3817	335
7804	1024	-4	-64	-132	-3831	344
7900	896	27	64	-133	-3832	336
8000	640	55	128	-133	-4084	328
8104	320	105	128	-134	-3842	317
8200	0	116	128	-134	-3910	319
8304	-192	119	128	-114	-4062	315
8400	-128	114	128	-115	-3923	308
8500	-192	115	128	-112	-4075	308
8604	-448	114	192	-109	-4069	304
8700	-384	120	64	-106	-4095	306
8804	-1024	191	-192	-78	-3834	266
8900	-1280	204	-192	-89	-4071	255
9000	-1280	196	-64	-86	-4055	257
9104	-1088	210	64	-74	-3822	251
9200	-1792	270	-448	-72	-4078	201
9304	-2240	293	-128	-66	-3346	170
9400	-2560	300	-320	-60	-3348	157
9500	-2304	306	-256	-56	-3313	141
9604	-2816	338	-448	-52	-3061	88
9700	-3200	342	-384	-46	-2691	78
9804	-3264	355	-256	-43	-2776	43
9900	-3456	367	-256	-36	-2549	10
10000	-3840	366	-704	-35	-2030	2
10104	-3392	362	-256	-34	-2278	20
10200	-3328	367	-512	-35	-2260	-1
10304	-3520	370	-512	-33	-2004	-23
10400	-3840	374	-704	-33	-1550	-49
10500	-3776	374	-576	-33	-1299	-88
10604	-4096	377	-704	-29	-771	-132
10700	-3904	369	-704	-18	-278	-159
10804	-3904	339	-512	-33	-230	-241
10900	-3904	330	-704	-34	524	-274
11000	-3904	292	-704	-41	1037	-329
11104	-3904	265	-576	-35	1558	-362
11200	-3776	211	-576	-59	2055	-413
11304	-3520	180	-640	-67	2561	-434
11400	-3072	101	-640	-81	3082	-472
11500	-2368	60	-320	-91	3339	-484
11604	-2048	-30	-320	-110	4093	-494
11700	-1280	-76	-256	-107	4094	-492
11804	-512	-196	-64	-146	4352	-464
11900	256	-250	-64	-159	4098	-439
12000	1152	-337	64	-177	4108	-373
12104	2048	-390	256	-190	3837	-315
12200	2944	-454	320	-195	3060	-168
12304	3456	-463	576	-209	2295	-136
12400	3648	-464	640	-207	1292	-26
12500	3904	-458	704	-207	540	27
12604	3712	-423	640	-198	-8	127
12700	3648	-386	576	-195	-786	171
12804	3392	-320	640	-182	-1781	247
12900	3264	-304	576	-181	-2075	256
13000	2944	-252	704	-176	-2556	284
13104	2688	-200	640	-162	-2567	308
13200	2304	-169	448	-156	-3318	319
13304	1792	-119	512	-146	-3576	332
13400	1536	-85	320	-138	-3582	333
13500	1088	-25	512	-127	-4074	333
13604	768	-9	192	-121	-4044	339
13700	512	15	192	-124	-4079	328
13804	448	24	384	-116	-4042	326
13900	448	39	384	-118	-3948	325
14000	320	41	64	-110	-4037	322
14104	128	47	128	-97	-3987	319
14200	128	50	128	-100	-3849	326
14304	64	62	128	-96	-3960	312
14400	0	65	128	-88	-3841	310
14500	-128	76	64	-83	-3953	304
14604	-128	109	256	-68	-4089	290
14700	-960	159	-64	-49	-4088	261
14804	-1344	182	-128	-41	-3814	241
14900	-1792	212	-384	-27	-3820	214
15000	-2048	221	-704	-23	-3571	203
15104	-1600	218	-448	-19	-3571	216
15200	-1984	239	-576	-6	-3333	183
15304	-2368	287	-576	8	-3099	117
15400	-2816	299	-768	12	-3047	89
15500	-3008	309	-768	18	-2800	61
15604	-2880	314	-832	27	-2329	44
15700	-3328	328	-1024	27	-2295	-17
15804	-3456	331	-1024	29	-1807	-39
15900	-3456	334	-1216	31	-1512	-56
16000	-3648	333	-1216	33	-1234	-75
16104	-4032	330	-1280	34	-753	-162
16200	-3776	324	-1344	44	-291	-183
16304	-4096	305	-1408	28	216	-231
16400	-3776	296	-1280	23	281	-257
16500	-3840	247	-1408	3	1049	-343
16604	-3456	223	-1344	-3	2019	-366
16700	-3136	169	-1088	-29	2281	-419
16804	-3008	137	-1088	-39	2564	-439
16900	-2624	71	-832	-65	3328	-471
17000	-2176	23	-896	-84	3839	-484
17104	-1536	-87	-512	-128	4093	-492
17200	-1024	-149	-320	-140	4097	-485
17304	192	-270	256	-201	4108	-431
17400	960	-309	384	-216	4111	-411
17500	1344	-359	448	-238	3859	-365
17604	1856	-420	576	-260	3598	-283
17700	2368	-438	896	-270	3125	-245
17804	3008	-468	1088	-267	2834	-164
17900	3264	-470	1280	-279	2058	-131
18000	3328	-475	1088	-282	1808	-64
18104	3328	-471	1280	-281	1037	-16
18200	3712	-471	1408	-281	800	8
18304	3584	-465	1280	-277	528	28
18400	3776	-444	1472	-276	13	81
18500	3712	-438	1408	-270	-26	110
18604	3328	-396	1472	-251	-755	174
18700	3392	-376	1088	-252	-1246	196
18804	3072	-333	1280	-235	-1787	240
18900	3072	-309	1280	-224	-2292	259
19000	2752	-259	1152	-208	-2559	292
19200	2176	-176	1024	-176	-3311	320
19304	1664	-146	960	-164	-3574	327
19400	1344	-86	704	-139	-3831	334
19500	1024	-62	512	-129	-4068	331
19604	832	-17	512	-112	-4088	327
19700	448	12	448	-100	-3850	330
19804	0	25	192	-80	-4062	316
19900	192	33	384	-85	-4091	316
20000	128	31	64	-79	-3999	311
20104	-64	31	64	-73	-3978	310
20200	-64	20	128	-69	-3953	307
20304	-128	18	128	-71	-3898	308
20400	-128	13	128	-71	-4054	306
20500	128	27	384	-58	-3841	303
20604	-448	88	-64	-20	-4082	269
20700	-896	108	-320	-6	-4085	251
20804	-1088	138	-640	20	-3585	223
20900	-1472	144	-832	27	-3831	212
21000	-1600	159	-896	38	-3564	193
21104	-2048	176	-1088	48	-3529	172
21200	-2112	188	-1088	64	-3311	158
21304	-2240	193	-1344	61	-3075	150
21400	-1856	205	-1088	72	-3317	126
21500	-2112	214	-1408	79	-2817	103
21604	-2560	229	-1664	93	-2814	67
21700	-2624	238	-1728	97	-2302	31
21804	-3328	254	-2112	122	-1790	-80
21900	-3264	253	-2240	108	-1237	-94
22000	-3392	250	-2048	108	-987	-158
22104	-3392	238	-2112	101	-483	-220
22200	-3392	226	-2240	104	235	-246
22304	-3328	211	-2496	84	545	-288
22400	-3456	190	-2240	69	1045	-326
22500	-3264	153	-2112	41	1574	-376
22604	-3008	145	-2112	37	1835	-389
22700	-2944	105	-1792	7	2302	-427
22804	-2816	46	-1984	-35	2817	-461
22900	-1792	-96	-1280	-135	3602	-497
23000	-1088	-137	-640	-165	4111	-489
23104	-448	-212	-256	-217	4114	-471
23200	192	-247	192	-241	4121	-453
23304	704	-291	448	-267	4118	-425
23400	512	-312	320	-290	4121	-409
23500	1024	-362	768	-324	3855	-356
23604	1728	-392	1216	-342	3593	-323
23700	2176	-431	1408	-373	3353	-244
23804	2368	-443	1600	-380	2827	-199
23900	2752	-458	1920	-392	2318	-118
24000	3264	-464	2240	-394	1553	-53
24104	3136	-449	2240	-387	774	43
24200	3200	-436	2496	-374	14	100
24304	3072	-395	2176	-348	-753	178
24400	2944	-372	2240	-331	-1516	208
24500	2560	-312	1984	-294	-2041	265
24604	2304	-277	1792	-267	-2813	286
24700	2176	-210	1664	-223	-3064	320
24804	1728	-193	1536	-208	-3559	325
24900	1536	-168	1216	-196	-3571	328
25000	1344	-145	1088	-180	-3572	332
25104	1216	-101	960	-145	-3813	334
25200	768	-92	576	-140	-3820	341
25304	512	-78	768	-122	-3890	332
25400	832	-75	896	-128	-3950	325
25500	512	-80	704	-127	-3920	326
25604	576	-78	640	-113	-4015	331
25700	192	-34	640	-80	-3984	312
25804	-64	-23	192	-68	-3853	308
25900	-128	-28	128	-63	-3908	307
26000	-128	-21	128	-57	-4068	304
26104	-448	-3	-128	-33	-4080	297
26200	-640	18	-320	-10	-4071	277
26304	-704	46	-512	16	-4072	252
26400	-896	66	-832	36	-3818	233
26500	-1408	119	-1344	94	-3328	152
26604	-1920	154	-1856	132	-3057	74
26700	-2176	156	-2112	135	-2585	59
26804	-2240	172	-2432	166	-2286	-41
26900	-2752	175	-2688	156	-1789	-61
27000	-2752	173	-2752	156	-1295	-61
27104	-3008	173	-2560	159	-1481	-92
27200	-3072	170	-2880	152	-1015	-164
27304	-2752	169	-3008	157	-455	-161
27400	-2880	154	-3008	138	35	-236
27500	-2880	147	-2880	131	298	-264
27604	-2688	117	-2944	104	804	-331
27700	-2816	97	-2816	78	1312	-364
27804	-2560	44	-2752	24	2084	-420
27900	-2304	21	-2304	-4	2586	-449
28000	-2048	-34	-2176	-59	3101	-476
28104	-1792	-74	-1664	-96	3597	-488
28200	-1280	-169	-1024	-206	3870	-489
28304	-384	-203	-384	-242	4116	-477
28400	-256	-251	-128	-298	4112	-449
28500	384	-278	448	-325	4131	-433
28604	832	-349	896	-396	3866	-355
28700	1280	-375	1792	-425	3609	-305
28804	1984	-408	2304	-460	3108	-232
28900	2240	-413	2432	-467	2848	-208
29000	2496	-428	2688	-483	2332	-120
29104	2368	-430	2688	-485	1826	-80
29200	2752	-428	3072	-480	1059	-1
29304	2560	-422	2944	-474	545	40
29400	2624	-404	2944	-455	39	104
29500	2624	-395	3072	-443	-497	128
29604	2624	-375	3072	-425	-992	171
29700	2368	-359	2688	-402	-1250	202
29804	2432	-317	2752	-361	-2023	257
29900	2112	-303	2432	-347	-2292	266
30000	1792	-257	2304	-300	-2790	297
30104	1536	-239	1920	-267	-3055	316
30200	1472	-214	1856	-255	-3313	321
30304	1344	-200	1792	-239	-3561	324
30400	1088	-171	1408	-207	-3564	325
30500	960	-155	1536	-194	-3817	333
30604	896	-146	1280	-176	-3914	328
30700	896	-149	1152	-174	-3725	332
30804	704	-131	1152	-163	-3711	333
30900	704	-119	1024	-146	-3858	329
31000	256	-112	640	-135	-3978	326
31104	384	-110	704	-129	-4078	327
31200	0	-98	448	-110	-3892	330
31304	320	-100	704	-115	-3813	322
31400	128	-84	320	-90	-4066	313
31500	64	-84	192	-89	-4043	312
31604	-256	-63	-128	-53	-4069	300
31700	-448	-40	-320	-21	-4071	281
31804	-576	8	-960	62	-3812	219
31900	-832	23	-1472	84	-3555	194
32000	-1216	47	-1792	120	-3346	142
32104	-1408	77	-2112	170	-3067	19
32200	-1984	82	-2880	182	-2271	-25
32304	-1920	84	-3136	186	-1517	-130
32400	-2240	80	-3392	181	-996	-160
32500	-2112	56	-3328	139	-211	-295
32604	-1920	40	-3392	120	1055	-328
32700	-2176	23	-3264	87	1528	-370
32804	-1856	-5	-2880	37	2046	-416
32900	-1408	-112	-2176	-134	3114	-491
33000	-896	-166	-1216	-223	4127	-491
33104	-64	-233	0	-317	4153	-454
33200	0	-249	192	-354	4126	-436
33304	256	-286	640	-414	4127	-400
33400	576	-318	1536	-456	3878	-357
33500	1216	-351	2112	-519	3628	-269
33604	1344	-362	2368	-532	3110	-231
33700	1600	-381	2880	-561	2576	-110
33804	1792	-382	3264	-561	1554	-70
33900	1792	-382	3520	-555	1054	-8
34000	2112	-376	3584	-552	535	30
34104	1792	-360	3392	-519	31	127
34200	1856	-345	3456	-493	-733	160
34304	1984	-319	3584	-454	-1509	225
34400	1984	-308	3328	-443	-1770	229
34500	1728	-282	3136	-396	-2037	271
34604	1280	-265	2688	-359	-2534	283
34700	1344	-237	2560	-321	-3043	310
34804	1088	-222	2304	-301	-3299	317
34900	832	-190	1984	-254	-3553	330
35000	960	-180	1600	-238	-3553	333
35104	704	-158	1408	-196	-3820	341
35200	640	-141	1088	-177	-3824	331
35304	384	-118	960	-129	-4089	331
35400	64	-112	640	-132	-4067	324
35500	128	-115	704	-133	-4083	326
35604	192	-112	704	-122	-4080	328
35700	128	-114	640	-128	-4078	321
35804	0	-108	448	-117	-4061	321
35900	64	-102	448	-108	-4080	315
36000	128	-102	384	-107	-3949	316
36104	-64	-100	512	-103	-4068	320
36200	128	-99	448	-93	-4075	317
36304	192	-100	320	-97	-4055	311
